href	infobox
Alexander_R._Galloway	True
Alexander_Rüstow	True
Alexander_Schmemann	True
Alexander_Stoddart	True
Alexander_Wendt	True
Alexander_of_Aphrodisias	True
Alexander_of_Hales	True
Alexander_von_Humboldt	True
Alexandre_Christoyannopoulos	True
Alexandre_Dumas	True
Alexandre_Kojève	True
Alexandre_Koyré	True
Alexandre_Lacassagne	True
Alexandru_Hâjdeu	True
Alexis_Bouvard	True
Alexis_Carrel	True
Alexis_Clairaut	True
Alexis_Tsipras	True
Alexis_de_Tocqueville	True
Alexius_Meinong	True
Alfred,_Lord_Tennyson	True
Alfred_Adler	True
Alfred_Binet	True
Alfred_Cobban	True
Alfred_Fouillée	True
Alfred_Fröhlich	True
Alfred_Irving_Hallowell	True
Alfred_Jarry	True
Alfred_Kempe	True
Alfred_Korzybski	True
Alfred_Kubin	True
Alfred_Loisy	True
Alfred_Marshall	True
Alfred_Métraux	True
Alfred_North_Whitehead	True
Alfred_Radcliffe-Brown	True
Alfred_Richard_Orage	True
Alfred_Russel_Wallace	True
Alfred_Schuler	True
Alfred_Schütz	True
Alfred_Sturtevant	True
Alfred_Tarski	True
Alfred_Weber	True
Alfred_Wilhelm_Volkmann	True
Alfred_de_Musset	True
Alfred_the_Great	True
Alfredo_Bosi	True
Alfredo_Cristiani	True
Alfredo_Trombetti	True
Algernon_Charles_Swinburne	True
Algernon_Sidney	True
Algirdas_Julien_Greimas	True
Algis_Uždavinys	True
Ali	True
Ali-Shir_Nava'i	True
Ali_Gomaa	True
Ali_Hariri	True
Ali_Khamenei	True
Ali_Lakhani	True
Ali_Motahari	True
Ali_Qushji	True
Ali_Shariati	True
Ali_al-Hujwiri	True
Ali_al-Qari	True
Ali_al-Rida	True
Ali_al-Tamimi	True
Ali_ibn_Harzihim	True
Ali_ibn_Husayn_Zayn_al-Abidin	True
Ali_ibn_al-Madini	True
Alice_Ambrose	True
Alice_Bálint	True
Alice_Crary	True
Alice_Walker	True
Alice_von_Hildebrand	True
Alicja_Gescinska	True
Aligarh_Movement	True
Alisa_Childers	True
Alister_McGrath	True
All-India_Muslim_League	True
Allameh_Sayyed_Abul_Hasan_Rafiee_Qazvini	True
Allan_Bloom	True
Allan_Boesak	True
Allan_Combs	True
Allan_Gibbard	True
Allan_Luke	True
Allan_Schore	True
Allen_Buchanan	True
Allen_Ginsberg	True
Allen_Newell	True
Allen_Speight	True
Allen_W._Wood	True
Almeida_Garrett	True
Almoravid_dynasty	True
Alois_Höfler	True
Alois_Riehl	True
Alok_Bhargava	True
Alonso_Rodriguez	True
Alonzo_Church	True
Alphonse_Pyramus_de_Candolle	True
Alphonse_de_Lamartine	True
Alphonso_Lingis	True
Alphonsus_Liguori	True
Althusius	True
Alvin_E._Roth	True
Alvin_Hansen	True
Alvin_Plantinga	True
Al‐Kātibī	True
Amadeo_Bordiga	True
Amalric_of_Bena	True
Amalrician	True
Amartya_Sen	True
Ambrose	True
Ambrose_Traversari	True
Ambrosiaster	True
Amedeo_Giorgi	True
American_Pragmatism	True
American_Pre-Raphaelites	True
American_Revolution	True
Amerigo_Vespucci	True
Amia_Srinivasan	True
Amin_Ahsan_Islahi	True
Amin_Maalouf	True
Amin_Uddin_Shaikh-e-Ketia	True
Amin_al-Husseini	True
Ammonius_Hermiae	True
Ammonius_Saccas	True
Ammonius_of_Athens	True
Amos_Perlmutter	True
Amos_Tversky	True
Amr_ibn_Dinar	True
Amy_Allen_(philosopher)	True
Amy_Edmondson	True
Amy_Goodman	True
Amy_Gutmann	True
Ana_Mae_Barbosa	True
Analytic_philosophy	True
Ananda_Coomaraswamy	True
Anarchism_in_Argentina	True
Anarchy_Alive!	True
Anat_Biletzki	True
Anatol_Rapoport	True
Anatole_France	True
Anaxagoras	True
Anaximander	True
Anaximenes_of_Miletus	True
Anaïs_Nin	True
Ancient_Egyptian_mathematics	True
Ancient_Egyptian_religion	True
Andre_Gunder_Frank	True
Andrea_Alciato	True
Andrea_Biglia	True
Andrea_Dworkin	True
Andrea_Smith_(academic)	True
Andreas_Papandreou	True
Andreas_Vesalius	True
Andreas_von_Ettingshausen	True
Andrei_Bely	True
Andrei_Sakharov	True
Andrew_Arato	True
Andrew_C._McLaughlin	True
Andrew_Feenberg	True
Andrew_Gray_(physicist)	True
Andrew_Kliman	True
Andrew_Lang	True
Andrew_Linzey	True
Andrew_Purves	True
Andrew_Seth_Pringle-Pattison	True
Andrew_Sullivan	True
Andrew_Yang	True
Andrey_Zaliznyak	True
Andronicus_Contoblacas	True
Andrzej_Frycz_Modrzewski	True
Andrzej_Trzecieski	True
Andrzej_Walicki	True
André_Bazin	True
André_Breton	True
André_Chénier	True
André_Gide	True
André_Gorz	True
André_Lalande_(philosopher)	True
André_Leroi-Gourhan	True
André_Martinet	True
André_Maurois	True
André_Morellet	True
André_Neher	True
André_Piganiol	True
André_Trocmé	True
Andrés_Bello	True
Andy_Clark	True
Andy_Merrifield	True
Andy_Stanley	True
Andy_Warhol	True
Angela_Carter	True
Angela_Davis	True
Angelo_Genocchi	True
Angelus_Silesius	True
Animism	True
Ann_Nocenti	True
Ann_Oakley	True
Ann_Radcliffe	True
Anna-Teresa_Tymieniecka	True
Anna_Freud	True
Anna_Wheeler_(author)	True
Annalisa_Coliva	True
Anne_Conway_(philosopher)	True
Anne_McClintock	True
Anne_Robert_Jacques_Turgot	True
